city;type;description;year;status;category;url
teresina;Policy;Política Nacional de Mobilidade Urbana PNMU - Lei 12.587/12;2012;Approved;National;http://www.senado.gov.br/noticias/Jornal/emdiscussao/motos/legislacao-e-fiscalizacao/politica-nacional-de-mobilidade-urbana-pnmu-do-governo-federal-lei-12-587-12-pretende-estimular-transporte-coletivo-publico-nas-cidades.aspx
teresina;Policy;Sistema de Apoio a  Elaboraçao de Planos de Mobilidade Urbana - Lei n. 12.587, de janeiro de 2012;2012;Approved;National;https://www.gov.br/mdr/pt-br/assuntos/mobilidade-e-servicos-urbanos/sistema-de-apoio-a-elaboracao-de-planos-de-mobilidade-urbana
teresina;Initiative;Euroclima+;2020;Under development;;;
teresina;Initiative;MUV;2018;Approved;Local;;
teresina;Initiative;Programa RETREM - Instruaçao Normativa n. 27/2017;2017;Approved;National;https://www.gov.br/mdr/pt-br/assuntos/mobilidade-e-servicos-urbanos/programa-retrem
teresina;Initiative;Programa REFROTA - Instruaçao Normativa n. 27/2017;2017;Approved;National;https://www.gov.br/mdr/pt-br/assuntos/mobilidade-e-servicos-urbanos/programa-refrota-1
teresina;Initiative;Avanaçar Cidades Mobilidade Urbana - Instruaçao Normativa n. 27/2017;2017;Approved;National;https://www.gov.br/mdr/pt-br/assuntos/mobilidade-e-servicos-urbanos/avancar-cidades-2013-mobilidade-urbana-1
teresina;Initiative;parceria para melhorar mobilidade urbana de Teresina;2020;Approved;Local;https://www.gov.br/mdr/pt-br/noticias/bid-e-mdr-fazem-parceria-para-melhorar-mobilidade-urbana-de-teresina
teresina;Plan;Camara Brasileira da Industria 4.0 e Mapeamento 4.0;2019;Approved;National;https://www.gov.br/economia/pt-br/assuntos/noticias/2019/09/governo-federal-lanca-plano-para-alavancar-industria-4.0
teresina;Plan;Plano nacional de investimentos;2020;Approved;National;https://tvbrasil.ebc.com.br/tags/plano-nacional-de-investimentos
teresina;Plan;Plano Plurianual 2020-2023 Estado do Piauí;2020;Approved;Supra-local;http://www.antigoseplan.pi.gov.br/upe/PPA/PPA_2020_2023/anexo-i.pdf
teresina;Plan;Plano Regional de Desenvolvimento do Nordeste (PRDNE);2019;Approved;Supra-local;https://www.gov.br/sudene/pt-br/centrais-de-conteudo/prdne-v-06-12-2019-v2-pdf
teresina;Plan;Plano de Desenvolvimento Econamico Sustenta¡vel;2016;Approved;Supra-local;http://www.cepro.pi.gov.br/download/201608/CEPRO02_9b568b361f.pdf
teresina;Plan;Camara Brasileira da Industria 4.0 e Mapeamento 4.0;2019;Approved;National;https://www.gov.br/economia/pt-br/assuntos/noticias/2019/09/governo-federal-lanca-plano-para-alavancar-industria-4.0
teresina;Policy;Portarias 05/2020 e 07/2020 SEMEST - Banco Popular estabelecem medidas de flexibilizaçao de cobrança de dívidas do banco popular durante a pandemia de COVID-19;2020;Approved;Local;
teresina;Policy;LEI N. 4.855, DE 23 DE DEZEMBRO DE 2015. Altera dispositivos da Lei n. 2.528, de 23 de maio de 1997, que dispone sobre a Política de Benefícios e Incentivos Fiscais do Município de Teresina e das outras providencias, com alteraaçaµes posteriores, na forma que especifica.;2015;Approved;Local;
teresina;Plan;Plano nacional de investimentos;2020;Approved;National;https://tvbrasil.ebc.com.br/tags/plano-nacional-de-investimentos
teresina;Plan;Plano de desenvolvimento econamico sustentavel do Piauí;2016;Approved;Supra-local;http://www.cepro.pi.gov.br/download/201608/CEPRO02_9b568b361f.pdf
teresina;Initiative;COLAB;2014;Approved;Local;https://app.colab.re/BR/PI/Teresina
teresina;Initiative;TransformaGov - Decreto 10.382/2020;2020;Approved;National;http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2020/decreto/D10382.htm
teresina;Initiative;Programa Brasil Eficiente;2017;Approved;National;http://www.brasileficiente.gov.br/
teresina;Initiative;Programa de eficiancia e efetividade nos controles internos orientados para resultados - CGE PI;2020;Approved;Local;https://www.pi.gov.br/noticias/cge-implanta-projeto-para-atender-com-agilidade-demandas-sociais/
teresina;Plan;Plano de Capacitaçao Municipal (CAF);2020;Not Approved;Local;;
teresina;Plan;Hiring the Open Data Master Plan;2020;Under development;Local;;
teresina;Initiative;Programa Nacional de Apoio a s Micro e Pequenas empresas - Pronampe lei n. 13.999/2020;2020;Approved;National;https://www.sebrae.com.br/sites/PortalSebrae/ufs/ac/artigos/programa-nacional-de-apoio-as-micro-e-pequenas-empresas,1ebf78b26fdb2710VgnVCM1000004c00210aRCRD
teresina;Initiative;Commercial and Creative Technology The Commercial and Creative Technology project, to be carried out by the Municipality of Teresina, Aiming at the training, financing and monitoring of small entrepreneurs for the use of resources and technological and communication tools in the dissemination of its products and services and for the realization of sales, actions aimed at reinsertion, adaptation and presentation to new mechanisms to support the business in the face of the situation of pandemic configured. (http://www.portalpmt.teresina.pi.gov.br/app_Login/);2020;Approved;Local;
teresina;Initiative;BNDES Cradito Pequenas Empresas;2020;Approved;National;https://www.sebrae.com.br/sites/PortalSebrae/artigos/como-acessar-recursos-do-bndes,5be750628e631710VgnVCM1000004c00210aRCRD
teresina;Initiative;Cursos de capacitaçao profissional ofertados pela Fundaçao Wall Ferraz;1997 -;Approved;Local;https://fwf.pmt.pi.gov.br/estatuto/
teresina;Policy;Política Nacional de Informatica - LEI N. 7.232, DE 29 DE OUTUBRO DE 1984. Tem por objetivo a capacitaçao nacional nas atividades de informa¡tica, em proveito do desenvolvimento social, cultural, político, tecnola³gico e econamico da sociedade brasileira;1984;Approved;National;http://www.planalto.gov.br/ccivil_03/leis/l7232.htm
teresina;Policy;Creates the figure of the Individual Microentrepreneur - MEI LEI COMPLEMENTAR N. 128, DE 19 DE DEZEMBRO DE 2008;2008;Approved;National;http://www.planalto.gov.br/ccivil_03/Leis/LCP/Lcp128.htm
teresina;Policy;LEI N. 4.853, DE 23 DE DEZEMBRO DE 2015. Dispaµe sobre tratamento diferenciado e favorecido aos Microempreendedores Individuais - MEI, a s Microempresas - ME, e a s  empresas de Pequeno Porte - EPP, no a¢mbito do Município de Teresina;2015;Approved;Local;https://www.sebrae.com.br/sites/PortalSebrae/ufs/pe/sebraeaz/programa-apoia-o-desenvolvimento-da-economia-criativa
teresina;Policy;DICE Developing Inclusive and Creative Economies - Programa de Empreendedorismo Social e Criativo do Conselho Brita¢nico no Brasil;2014;Approved;Local;
teresina;Policy;Declaration of Economic Freedom Rights; establishes free market guarantees; establishes rules of protection to free initiative and the free exercise of economic activity and provisions on the state's performance as a normative and regulatory agent LEI N. 13.874, DE 20 DE SETEMBRO DE 2019 (http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/lei/L13874.htm);2019;Approved;National;
teresina;Initiative;The THEch Program came to foster entrepreneurship, innovation and maker culture and promote research, teaching and institutional development for the execution of studies and activities to support the municipality of Teresina. The Municipality of Teresina is the great director, through the idealization of an Innovation Program of its Municipal Secretariat of Economic Development and Tourism (SEMDEC) and execution of Softex.;2020;Approved;Local;https://www.thechteresina.softex.br/
teresina;Initiative;Programa de Incentivo ao Primeiro Emprego FWF;2018;Approved;Local;https://fwf.pmt.pi.gov.br/programa-de-incentivo-ao-primeiro-emprego-esta-com-inscricoes-abertas/
teresina;Policy;Lei Municipal N. 4.812, DE 25 DE SETEMBRO DE 2015. Institui a Política Municipal de Fomento ao Cooperativismo, no ambito do Município de Teresina;2015;Approved;Local;
teresina;Policy;SINE-PI Sistema Nacional de Emprego - Decreto 76.403 de 08/10/75;2015;Approved;Local;http://dom.pmt.pi.gov.br/admin/upload/DOM1784-22072015.pdf