city;organization;description
teresina;SEMPLAN;Secretaria Municipal de Planejamento e Coordenaçao
teresina;SEMDUH;Secretaria Municipal de Desenvolvimento Urbano e Habitaçao
teresina;CDL;Câmara de Dirigenes Lojistas de Teresina
teresina;SEMEST;Secretaria Municipal de Economia Solidaria de Teresina
teresina;SEMDEC;Secretaria Municipal de Desenvolvimento Econòmico e Turismo
teresina;SEBRAE;Serviço Brasileiro de Apoio às Micro e Pequenas Empresas
teresina;FIEPI;Federaçao das Indústrias do Estado de Piauí
teresina;Caixa Economica; Caixa Economica
teresina;IFPI;Instituto Federal de Educaçao Ciència e Tecnologia do Piauí
teresina;AFD;French Development Agency
teresina;CAF;Banco de Desenvolvimento da América Latina
teresina;Ministerio da Economia;Ministerio da Economia
teresina;NBD;Novo Banco de Desenvolvimento
teresina;BNDES;Banco Nacional de Desenvolvimento Econômico e Social
teresina;MDR;Ministério do Desenvolvimiento Regional
teresina;Banco do Brasil;Banco do Brasil
teresina;UESPI;Universidade Estadual do Piauí
teresina;SINDUSCON;Sindicato da Indústria da Construçao Civil de Teresina
teresina;World Bank;World Bank
teresina;UFPI;Universidade Federal do Piaui
teresina;SINDCOM;Sindicato dos Empregados no Comércio de Teresina
teresina;MOVE-PI;Movimento Empreender Piauí